"Time (s)","Rotation x (rad/s)","Rotation y (rad/s)","Rotation z (rad/s)"
9.216681250E0,-3.162885606E-1,-1.070759520E-1,5.044873953E-1
9.239884375E0,-3.140370846E-1,-1.943598688E-1,4.741012454E-1
9.259884375E0,-3.426953852E-1,-2.691821158E-1,4.431041777E-1
9.280000000E0,-3.692069352E-1,-3.421019912E-1,4.066442549E-1
9.303884375E0,-3.947236538E-1,-4.347440600E-1,3.668332994E-1
9.324000000E0,-4.042706192E-1,-5.114163756E-1,3.227986395E-1
9.348000000E0,-3.897320330E-1,-5.978800058E-1,2.663896084E-1
9.371884375E0,-3.521376252E-1,-6.860191226E-1,2.327745557E-1
9.395882812E0,-2.936167419E-1,-7.658679485E-1,2.021614909E-1
9.416000000E0,-2.228959948E-1,-8.324697018E-1,1.724036187E-1
9.439884375E0,-1.331162602E-1,-9.068730474E-1,1.369908899E-1
9.459884375E0,-6.358234584E-2,-9.619382024E-1,9.463175386E-2
9.479884375E0,-1.670280099E-2,-1.017020822E0,4.963716492E-2
9.499884375E0,-1.570796303E-4,-1.064127207E0,2.277654596E-2
9.519884375E0,-1.560324337E-2,-1.109697819E0,-1.762782573E-3
9.539884375E0,-5.035274848E-2,-1.148112535E0,-4.110250250E-2
9.560000000E0,-9.077457339E-2,-1.179842591E0,-7.763224840E-2
9.583884375E0,-1.258731484E-1,-1.213248134E0,-1.258207858E-1
9.604000000E0,-1.308298856E-1,-1.235082269E0,-1.791405976E-1
9.628000000E0,-1.133591309E-1,-1.251209140E0,-2.184105068E-1
9.651884375E0,-6.932447851E-2,-1.256881356E0,-2.561968863E-1
9.672000000E0,-2.907718532E-2,-1.254088879E0,-2.907369435E-1
9.696000000E0,1.457349956E-2,-1.246444345E0,-3.437251449E-1
9.719884375E0,6.684610993E-2,-1.231451988E0,-4.172558486E-1
9.740000000E0,9.068730474E-2,-1.216546893E0,-4.669977427E-1
9.764000000E0,8.981464058E-2,-1.189127684E0,-5.034402013E-1
9.787884375E0,6.291911751E-2,-1.157031059E0,-5.390100479E-1
9.808000000E0,9.512044489E-3,-1.125074148E0,-5.522221923E-1
9.832000000E0,-5.626941472E-2,-1.077531338E0,-5.641252995E-1
9.855884375E0,-1.065348983E-1,-1.026044130E0,-5.938657522E-1
9.876000000E0,-1.341285557E-1,-9.771400094E-1,-6.114062667E-1
9.900000000E0,-1.314756572E-1,-9.098401070E-1,-6.371324658E-1
9.923884375E0,-1.029569730E-1,-8.417373896E-1,-6.614972353E-1
9.944000000E0,-6.764896214E-2,-7.804763317E-1,-6.769782901E-1
9.968000000E0,-2.743657492E-2,-7.044672370E-1,-7.095810771E-1
9.991884375E0,-9.337511845E-3,-6.257005334E-1,-7.501250505E-1
1.001200000E1,-1.270599663E-2,-5.609488487E-1,-7.735997438E-1
1.003600000E1,-3.302162886E-2,-4.765796065E-1,-7.748738527E-1
1.005988438E1,-6.531021744E-2,-3.945316672E-1,-7.514689565E-1
1.008000000E1,-9.515535086E-2,-3.219608963E-1,-7.305773497E-1
1.010400000E1,-1.394518018E-1,-2.334203273E-1,-7.061253190E-1
1.012788438E1,-1.709550023E-1,-1.409702450E-1,-6.853035092E-1
1.014800000E1,-1.680926532E-1,-6.750933826E-2,-6.751980782E-1
1.017200000E1,-1.388234943E-1,2.665117756E-2,-6.613925099E-1
1.019588438E1,-9.087929130E-2,1.188918278E-1,-6.493322849E-1
1.021600000E1,-4.975933582E-2,1.959306598E-1,-6.527880430E-1
1.024000000E1,-1.595230959E-2,2.834938169E-1,-6.686705351E-1
1.026389062E1,5.026548170E-3,3.737273514E-1,-6.724055409E-1
1.028400000E1,2.033308521E-2,4.424933195E-1,-6.579192877E-1
1.030800000E1,2.862340026E-2,5.267403722E-1,-6.170088053E-1
1.033188438E1,1.263618376E-2,6.037268639E-1,-5.556255579E-1
1.035200000E1,-9.145525284E-3,6.676408052E-1,-5.034751296E-1
1.037600000E1,-3.401646763E-2,7.412588000E-1,-4.530700147E-1
1.039988438E1,-3.501130641E-2,8.095709682E-1,-3.939906359E-1
1.042000000E1,-1.059414819E-2,8.624544740E-1,-3.382098973E-1
1.044400000E1,3.146828711E-2,9.180955291E-1,-2.874557376E-1
1.046794844E1,7.482226193E-2,9.711011648E-1,-2.428451180E-1
1.048800000E1,1.039692611E-1,1.010231495E0,-2.049889266E-1
1.051200000E1,1.337969452E-1,1.049082518E0,-1.670803726E-1
1.053588438E1,1.423316002E-1,1.082156539E0,-1.344427168E-1
1.055600000E1,1.283864230E-1,1.103100419E0,-9.622000158E-2
1.058000000E1,8.770279586E-2,1.121688247E0,-5.452408642E-2
1.060388438E1,4.794419557E-2,1.134324431E0,5.445427261E-3
1.062400000E1,1.806415804E-2,1.140084028E0,6.831218302E-2
1.064800000E1,-3.298672382E-3,1.141567469E0,1.437104046E-1
1.067188438E1,-2.090904489E-2,1.137535810E0,2.109230459E-1
1.069200000E1,-3.726277873E-2,1.129454970E0,2.645395398E-1
1.071600000E1,-4.920083284E-2,1.115649343E0,3.238632977E-1
1.073988438E1,-3.858922794E-2,1.097218633E0,3.951250911E-1
1.076000000E1,-2.736676298E-2,1.075227499E0,4.458618164E-1
1.078400000E1,-2.317797206E-2,1.044352651E0,4.733856618E-1
1.080788281E1,-4.340633750E-2,1.012186289E0,4.739790559E-1
1.082800000E1,-7.993607968E-2,9.808924794E-1,4.765621424E-1
1.085200000E1,-1.375494003E-1,9.421636462E-1,4.896346629E-1
1.087588438E1,-1.980250627E-1,8.957727551E-1,5.114687085E-1
1.089600000E1,-2.422167957E-1,8.562236428E-1,5.228308439E-1
1.092000000E1,-2.864783406E-1,8.037590384E-1,5.128126144E-1
1.094388281E1,-3.135833144E-1,7.491301894E-1,5.083969831E-1
1.096400000E1,-3.191334605E-1,7.036294937E-1,5.377708673E-1
1.098800000E1,-3.146305084E-1,6.491053700E-1,5.849296451E-1
1.101188438E1,-3.040363491E-1,5.907067060E-1,6.287199259E-1
1.103200000E1,-2.909638286E-1,5.426054001E-1,6.481978297E-1
1.105600000E1,-2.925171852E-1,4.794419408E-1,6.287373900E-1
1.107988438E1,-3.188018501E-1,4.127703607E-1,5.770756602E-1
1.110000000E1,-3.477568626E-1,3.555410206E-1,5.460786223E-1
1.112400000E1,-3.873583674E-1,2.848551869E-1,5.237383842E-1
1.114788438E1,-4.127878249E-1,2.110801190E-1,5.082398653E-1
1.116800000E1,-4.183728695E-1,1.476723105E-1,4.847826660E-1
1.119200000E1,-4.124212861E-1,7.220426947E-2,4.482005537E-1
1.121588281E1,-4.101872742E-1,-3.700098023E-3,4.291415513E-1
1.123600000E1,-3.911980987E-1,-6.855653226E-2,4.384965301E-1
1.126000000E1,-3.673917949E-1,-1.492605507E-1,4.688128829E-1
1.128388438E1,-3.495021760E-1,-2.287428528E-1,4.911880195E-1
1.130400000E1,-3.317172825E-1,-2.970201373E-1,4.682369232E-1
1.132800000E1,-3.173183203E-1,-3.787539005E-1,4.033455849E-1
1.135188438E1,-3.074048460E-1,-4.586725235E-1,3.262020350E-1
1.137188438E1,-2.892883122E-1,-5.226388574E-1,2.693392038E-1
1.139188438E1,-2.741737664E-1,-5.862386227E-1,2.356019914E-1
1.141188594E1,-2.640508711E-1,-6.474648118E-1,2.117608041E-1
1.143588438E1,-2.434734255E-1,-7.173478007E-1,1.645147353E-1
1.145599844E1,-2.259154171E-1,-7.758686543E-1,1.241452694E-1
1.147988281E1,-2.058092207E-1,-8.381420374E-1,1.051735431E-1
1.149988438E1,-1.695587337E-1,-8.882678747E-1,1.095368639E-1
1.152400000E1,-1.222603172E-1,-9.446245432E-1,1.407084465E-1
1.154788438E1,-8.737118542E-2,-9.946805835E-1,1.706233919E-1
1.156788438E1,-6.436774135E-2,-1.030773997E0,1.539554894E-1
1.158788438E1,-5.534439161E-2,-1.065436244E0,1.076868176E-1
1.160800000E1,-5.902703479E-2,-1.094129443E0,4.099778458E-2
1.163188281E1,-6.277949363E-2,-1.121147156E0,-4.914847016E-2
1.165200000E1,-6.260495633E-2,-1.141584992E0,-1.047023013E-1
1.167600000E1,-4.824090004E-2,-1.158601880E0,-1.587027907E-1
1.169988281E1,-3.647737950E-2,-1.166543126E0,-1.993864179E-1
1.172000000E1,-2.726204321E-2,-1.167747498E0,-2.299645841E-1
1.174400000E1,-9.424777701E-3,-1.162703395E0,-2.735280097E-1
1.176788438E1,1.034980267E-2,-1.154098988E0,-2.985909283E-1
1.178800000E1,3.480186686E-2,-1.136314034E0,-2.976309955E-1
1.181257969E1,6.473426521E-2,-1.114776731E0,-3.015928864E-1
1.183588281E1,8.304276317E-2,-1.084181070E0,-3.081727922E-1
1.185600000E1,8.033750206E-2,-1.056657195E0,-3.228859007E-1
1.188000000E1,5.496041849E-2,-1.018434525E0,-3.680899441E-1
